Temperature,Pressure,Humidity,CO,NO2,SO2
32,1000,42,70,676,null
34,1001,35,174,478,null
34,998,39,526,497,null
26,991,59,193,277,null
24,994,56,219,401,null
19,995,70,212,256,null
18,995,75,151,290,null
31,1002,44,0,null,0
32,1000,43,346,null,121
36,1000,33,0,null,0
33,993,40,0,null,52
30,999,52,581,null,0
29,988,55,133,null,0
29,986,53,104,null,0
25,986,68,93,null,0
25,988,67,698,null,0
27,989,50,0,null,0
22,991,65,163,null,0
23,993,68,197,null,0
31,997,48,492,68,null
31,994,47,95,230,null
30,505,50,178,0,null
28,505,63,199,627,null
26,500,54,660,551,null
28,1000,56,336,258,null
26,990,74,284,188,null
27,1006,46,185,73,null
27,1000,42,230,92,null
36,1001,36,31058,null,35988
29,907,44,531,null,183
31,990,47,1125,null,338
23,993,56,237,433,null
23,977,68,181,384,null
22,989,71,73,425,null
26,993,56,95,119,null
23,993,61,422,358,null
30,1001,48,244,83,null
29,1002,49,258,98,null
31,999,40,140,0,null
31,1000,38,0,382,null
23,989,55,259,207,null
32,1000,43,181,null,5
35,1001,37,363,null,0
22,998,84,100,null,0
18,990,72,181,null,0
33,1003,46,472,null,0
35,984,36,460,null,0
34,1021,39,528,null,1051
37,982,33,413,null,1750
26,967,64,1883,null,1210
30,976,47,1160,null,854
31,960,44,1147,null,838
27,961,48,1768,null,1682
32,1001,48,56,0,null
35,1000,36,397,295,null
33,997,44,453,318,null
27,500,59,476,175,null
27,500,60,308,143,null
34,500,49,256,228,null
29,500,54,851,277,null
27,500,59,257,132,null
23,500,53,209,128,null
23,500,57,256,90,null
32,1002,44,186,null,165
33,1002,38,0,null,84
34,1003,37,198,null,39
33,1002,33,427,null,0
32,998,54,206,null,81
27,998,64,195,null,0
27,994,55,646,null,115
31,1001,45,11,null,52
33,1003,42,278,null,0
29,995,52,505,null,0
26,1000,59,148,null,0
24,1000,68,210,null,0
26,996,62,245,null,0
29,993,66,303,null,0
29,991,51,641,null,0
29,991,49,486,null,0
20,993,72,65,null,0
21,994,76,222,null,0
25,992,60,217,null,0
21,995,64,187,null,0
33,1001,43,0,337,null
33,1001,42,188,429,null
37,1001,37,34,361,null
34,1001,40,45,119,null
31,1000,54,284,495,null
27,991,60,269,489,null
26,994,64,288,469,null
23,994,60,220,565,null
32,1001,40,337,928,null
33,1001,38,112,337,null
33,997,36,146,201,null
25,996,68,241,582,null
26,924,53,332,null,0
30,1047,46,685,null,0
32,1109,40,547,null,18
30,982,50,117,null,0
24,1021,54,345,null,0
